Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps,Type
insertion_sort,NA,10,1,22.00,13.00,random
quick_sort,NA,10,1,19.00,15.00,random
dual_pivot_quick_sort,NA,10,1,27.00,9.00,random
hybrid_sort,15,10,1,22.00,14.00,random
insertion_sort,NA,10,1,9.00,0,sorted
quick_sort,NA,10,1,45.00,54.00,sorted
dual_pivot_quick_sort,NA,10,1,45.00,0,sorted
hybrid_sort,15,10,1,9.00,0,sorted
insertion_sort,NA,10,1,45.00,45.00,reverse
quick_sort,NA,10,1,45.00,29.00,reverse
dual_pivot_quick_sort,NA,10,1,45.00,5.00,reverse
hybrid_sort,15,10,1,45.00,45.00,reverse
insertion_sort,NA,20,1,99.00,81.00,random
quick_sort,NA,20,1,90.00,50.00,random
dual_pivot_quick_sort,NA,20,1,75.00,22.00,random
hybrid_sort,15,20,1,73.00,46.00,random
insertion_sort,NA,20,1,19.00,0,sorted
quick_sort,NA,20,1,190.00,209.00,sorted
dual_pivot_quick_sort,NA,20,1,190.00,0,sorted
hybrid_sort,15,20,1,154.00,155.00,sorted
insertion_sort,NA,20,1,190.00,190.00,reverse
quick_sort,NA,20,1,190.00,109.00,reverse
dual_pivot_quick_sort,NA,20,1,190.00,10.00,reverse
hybrid_sort,15,20,1,190.00,125.00,reverse
insertion_sort,NA,30,1,224.00,198.00,random
quick_sort,NA,30,1,135.00,98.00,random
dual_pivot_quick_sort,NA,30,1,121.00,38.00,random
hybrid_sort,15,30,1,150.00,118.00,random
insertion_sort,NA,30,1,29.00,0,sorted
quick_sort,NA,30,1,435.00,464.00,sorted
dual_pivot_quick_sort,NA,30,1,435.00,0,sorted
hybrid_sort,15,30,1,399.00,410.00,sorted
insertion_sort,NA,30,1,435.00,435.00,reverse
quick_sort,NA,30,1,435.00,239.00,reverse
dual_pivot_quick_sort,NA,30,1,435.00,15.00,reverse
hybrid_sort,15,30,1,435.00,255.00,reverse
insertion_sort,NA,40,1,387.00,351.00,random
quick_sort,NA,40,1,201.00,107.00,random
dual_pivot_quick_sort,NA,40,1,187.00,83.00,random
hybrid_sort,15,40,1,215.00,107.00,random
insertion_sort,NA,40,1,39.00,0,sorted
quick_sort,NA,40,1,780.00,819.00,sorted
dual_pivot_quick_sort,NA,40,1,780.00,0,sorted
hybrid_sort,15,40,1,744.00,765.00,sorted
insertion_sort,NA,40,1,780.00,780.00,reverse
quick_sort,NA,40,1,780.00,419.00,reverse
dual_pivot_quick_sort,NA,40,1,780.00,20.00,reverse
hybrid_sort,15,40,1,780.00,435.00,reverse
insertion_sort,NA,50,1,701.00,655.00,random
quick_sort,NA,50,1,222.00,147.00,random
dual_pivot_quick_sort,NA,50,1,245.00,101.00,random
hybrid_sort,15,50,1,224.00,130.00,random
insertion_sort,NA,50,1,49.00,0,sorted
quick_sort,NA,50,1,1225.00,1274.00,sorted
dual_pivot_quick_sort,NA,50,1,1225.00,0,sorted
hybrid_sort,15,50,1,1189.00,1220.00,sorted
insertion_sort,NA,50,1,1225.00,1225.00,reverse
quick_sort,NA,50,1,1225.00,649.00,reverse
dual_pivot_quick_sort,NA,50,1,1225.00,25.00,reverse
hybrid_sort,15,50,1,1225.00,665.00,reverse
insertion_sort,NA,10,10,28.80,20.90,random
quick_sort,NA,10,10,23.30,18.40,random
dual_pivot_quick_sort,NA,10,10,25.40,9.20,random
hybrid_sort,15,10,10,30.50,23.20,random
insertion_sort,NA,10,10,9.00,0,sorted
quick_sort,NA,10,10,45.00,54.00,sorted
dual_pivot_quick_sort,NA,10,10,45.00,0,sorted
hybrid_sort,15,10,10,9.00,0,sorted
insertion_sort,NA,10,10,45.00,45.00,reverse
quick_sort,NA,10,10,45.00,29.00,reverse
dual_pivot_quick_sort,NA,10,10,45.00,5.00,reverse
hybrid_sort,15,10,10,45.00,45.00,reverse
insertion_sort,NA,20,10,110.90,93.80,random
quick_sort,NA,20,10,65.30,41.40,random
dual_pivot_quick_sort,NA,20,10,75.30,25.80,random
hybrid_sort,15,20,10,75.60,46.40,random
insertion_sort,NA,20,10,19.00,0,sorted
quick_sort,NA,20,10,190.00,209.00,sorted
dual_pivot_quick_sort,NA,20,10,190.00,0,sorted
hybrid_sort,15,20,10,154.00,155.00,sorted
insertion_sort,NA,20,10,190.00,190.00,reverse
quick_sort,NA,20,10,190.00,109.00,reverse
dual_pivot_quick_sort,NA,20,10,190.00,10.00,reverse
hybrid_sort,15,20,10,190.00,125.00,reverse
insertion_sort,NA,30,10,245.20,219.50,random
quick_sort,NA,30,10,118.50,80.30,random
dual_pivot_quick_sort,NA,30,10,129.80,50.60,random
hybrid_sort,15,30,10,134.80,79.50,random
insertion_sort,NA,30,10,29.00,0,sorted
quick_sort,NA,30,10,435.00,464.00,sorted
dual_pivot_quick_sort,NA,30,10,435.00,0,sorted
hybrid_sort,15,30,10,399.00,410.00,sorted
insertion_sort,NA,30,10,435.00,435.00,reverse
quick_sort,NA,30,10,435.00,239.00,reverse
dual_pivot_quick_sort,NA,30,10,435.00,15.00,reverse
hybrid_sort,15,30,10,435.00,255.00,reverse
insertion_sort,NA,40,10,427.70,390.70,random
quick_sort,NA,40,10,192.50,106.60,random
dual_pivot_quick_sort,NA,40,10,191.60,74.80,random
hybrid_sort,15,40,10,202.70,126.70,random
insertion_sort,NA,40,10,39.00,0,sorted
quick_sort,NA,40,10,780.00,819.00,sorted
dual_pivot_quick_sort,NA,40,10,780.00,0,sorted
hybrid_sort,15,40,10,744.00,765.00,sorted
insertion_sort,NA,40,10,780.00,780.00,reverse
quick_sort,NA,40,10,780.00,419.00,reverse
dual_pivot_quick_sort,NA,40,10,780.00,20.00,reverse
hybrid_sort,15,40,10,780.00,435.00,reverse
insertion_sort,NA,50,10,655.50,610.20,random
quick_sort,NA,50,10,263.80,158.60,random
dual_pivot_quick_sort,NA,50,10,267.10,109.10,random
hybrid_sort,15,50,10,265.10,150.10,random
insertion_sort,NA,50,10,49.00,0,sorted
quick_sort,NA,50,10,1225.00,1274.00,sorted
dual_pivot_quick_sort,NA,50,10,1225.00,0,sorted
hybrid_sort,15,50,10,1189.00,1220.00,sorted
insertion_sort,NA,50,10,1225.00,1225.00,reverse
quick_sort,NA,50,10,1225.00,649.00,reverse
dual_pivot_quick_sort,NA,50,10,1225.00,25.00,reverse
hybrid_sort,15,50,10,1225.00,665.00,reverse
insertion_sort,NA,10,100,28.67,21.27,random
quick_sort,NA,10,100,24.88,17.87,random
dual_pivot_quick_sort,NA,10,100,24.60,9.59,random
hybrid_sort,15,10,100,28.18,20.74,random
insertion_sort,NA,10,100,9.00,0,sorted
quick_sort,NA,10,100,45.00,54.00,sorted
dual_pivot_quick_sort,NA,10,100,45.00,0,sorted
hybrid_sort,15,10,100,9.00,0,sorted
insertion_sort,NA,10,100,45.00,45.00,reverse
quick_sort,NA,10,100,45.00,29.00,reverse
dual_pivot_quick_sort,NA,10,100,45.00,5.00,reverse
hybrid_sort,15,10,100,45.00,45.00,reverse
insertion_sort,NA,20,100,108.92,92.30,random
quick_sort,NA,20,100,72.26,46.25,random
dual_pivot_quick_sort,NA,20,100,71.58,26.72,random
hybrid_sort,15,20,100,73.61,45.62,random
insertion_sort,NA,20,100,19.00,0,sorted
quick_sort,NA,20,100,190.00,209.00,sorted
dual_pivot_quick_sort,NA,20,100,190.00,0,sorted
hybrid_sort,15,20,100,154.00,155.00,sorted
insertion_sort,NA,20,100,190.00,190.00,reverse
quick_sort,NA,20,100,190.00,109.00,reverse
dual_pivot_quick_sort,NA,20,100,190.00,10.00,reverse
hybrid_sort,15,20,100,190.00,125.00,reverse
insertion_sort,NA,30,100,240.55,214.07,random
quick_sort,NA,30,100,127.99,77.41,random
dual_pivot_quick_sort,NA,30,100,129.53,49.64,random
hybrid_sort,15,30,100,131.84,77.87,random
insertion_sort,NA,30,100,29.00,0,sorted
quick_sort,NA,30,100,435.00,464.00,sorted
dual_pivot_quick_sort,NA,30,100,435.00,0,sorted
hybrid_sort,15,30,100,399.00,410.00,sorted
insertion_sort,NA,30,100,435.00,435.00,reverse
quick_sort,NA,30,100,435.00,239.00,reverse
dual_pivot_quick_sort,NA,30,100,435.00,15.00,reverse
hybrid_sort,15,30,100,435.00,255.00,reverse
insertion_sort,NA,40,100,419.91,384.24,random
quick_sort,NA,40,100,188.79,117.74,random
dual_pivot_quick_sort,NA,40,100,189.56,70.62,random
hybrid_sort,15,40,100,196.51,113.10,random
insertion_sort,NA,40,100,39.00,0,sorted
quick_sort,NA,40,100,780.00,819.00,sorted
dual_pivot_quick_sort,NA,40,100,780.00,0,sorted
hybrid_sort,15,40,100,744.00,765.00,sorted
insertion_sort,NA,40,100,780.00,780.00,reverse
quick_sort,NA,40,100,780.00,419.00,reverse
dual_pivot_quick_sort,NA,40,100,780.00,20.00,reverse
hybrid_sort,15,40,100,780.00,435.00,reverse
insertion_sort,NA,50,100,650.43,604.76,random
quick_sort,NA,50,100,264.43,157.18,random
dual_pivot_quick_sort,NA,50,100,261.75,98.44,random
hybrid_sort,15,50,100,264.81,155.41,random
insertion_sort,NA,50,100,49.00,0,sorted
quick_sort,NA,50,100,1225.00,1274.00,sorted
dual_pivot_quick_sort,NA,50,100,1225.00,0,sorted
hybrid_sort,15,50,100,1189.00,1220.00,sorted
insertion_sort,NA,50,100,1225.00,1225.00,reverse
quick_sort,NA,50,100,1225.00,649.00,reverse
dual_pivot_quick_sort,NA,50,100,1225.00,25.00,reverse
hybrid_sort,15,50,100,1225.00,665.00,reverse
quick_sort,15,1000,1,10338.00,6353.00,random
dual_pivot_quick_sort,15,1000,1,10637.00,3757.00,random
hybrid_sort,15,1000,1,10763.00,6350.00,random
quick_sort,15,1000,1,499500.00,500499.00,sorted
dual_pivot_quick_sort,15,1000,1,499500.00,0,sorted
hybrid_sort,15,1000,1,499464.00,500445.00,sorted
quick_sort,15,1000,1,499500.00,250499.00,reverse
dual_pivot_quick_sort,15,1000,1,499500.00,500.00,reverse
hybrid_sort,15,1000,1,499500.00,250515.00,reverse
quick_sort,15,2000,1,25056.00,12897.00,random
dual_pivot_quick_sort,15,2000,1,26295.00,10269.00,random
hybrid_sort,15,2000,1,26151.00,12112.00,random
quick_sort,15,2000,1,1999000.00,2000999.00,sorted
dual_pivot_quick_sort,15,2000,1,1999000.00,0,sorted
hybrid_sort,15,2000,1,1998964.00,2000945.00,sorted
quick_sort,15,2000,1,1999000.00,1000999.00,reverse
dual_pivot_quick_sort,15,2000,1,1999000.00,1000.00,reverse
hybrid_sort,15,2000,1,1999000.00,1001015.00,reverse
quick_sort,15,3000,1,40752.00,21088.00,random
dual_pivot_quick_sort,15,3000,1,39251.00,17043.00,random
hybrid_sort,15,3000,1,39010.00,21517.00,random
quick_sort,15,3000,1,4498500.00,4501499.00,sorted
dual_pivot_quick_sort,15,3000,1,4498500.00,0,sorted
hybrid_sort,15,3000,1,4498464.00,4501445.00,sorted
quick_sort,15,3000,1,4498500.00,2251499.00,reverse
dual_pivot_quick_sort,15,3000,1,4498500.00,1500.00,reverse
hybrid_sort,15,3000,1,4498500.00,2251515.00,reverse
quick_sort,15,4000,1,51981.00,27075.00,random
dual_pivot_quick_sort,15,4000,1,54812.00,22672.00,random
hybrid_sort,15,4000,1,52861.00,28123.00,random
quick_sort,15,4000,1,7998000.00,8001999.00,sorted
dual_pivot_quick_sort,15,4000,1,7998000.00,0,sorted
hybrid_sort,15,4000,1,7997964.00,8001945.00,sorted
quick_sort,15,4000,1,7998000.00,4001999.00,reverse
dual_pivot_quick_sort,15,4000,1,7998000.00,2000.00,reverse
hybrid_sort,15,4000,1,7998000.00,4002015.00,reverse
quick_sort,15,5000,1,73196.00,37171.00,random
dual_pivot_quick_sort,15,5000,1,66589.00,27675.00,random
hybrid_sort,15,5000,1,71867.00,41300.00,random
quick_sort,15,5000,1,12497500.00,12502499.00,sorted
dual_pivot_quick_sort,15,5000,1,12497500.00,0,sorted
hybrid_sort,15,5000,1,12497464.00,12502445.00,sorted
quick_sort,15,5000,1,12497500.00,6252499.00,reverse
dual_pivot_quick_sort,15,5000,1,12497500.00,2500.00,reverse
hybrid_sort,15,5000,1,12497500.00,6252515.00,reverse
quick_sort,15,6000,1,88661.00,46566.00,random
dual_pivot_quick_sort,15,6000,1,85391.00,36175.00,random
hybrid_sort,15,6000,1,84284.00,46174.00,random
quick_sort,15,6000,1,17997000.00,18002999.00,sorted
dual_pivot_quick_sort,15,6000,1,17997000.00,0,sorted
hybrid_sort,15,6000,1,17996964.00,18002945.00,sorted
quick_sort,15,6000,1,17997000.00,9002999.00,reverse
dual_pivot_quick_sort,15,6000,1,17997000.00,3000.00,reverse
hybrid_sort,15,6000,1,17997000.00,9003015.00,reverse
quick_sort,15,7000,1,102792.00,54242.00,random
dual_pivot_quick_sort,15,7000,1,102626.00,42878.00,random
hybrid_sort,15,7000,1,127121.00,56649.00,random
quick_sort,15,7000,1,24496500.00,24503499.00,sorted
dual_pivot_quick_sort,15,7000,1,24496500.00,0,sorted
hybrid_sort,15,7000,1,24496464.00,24503445.00,sorted
quick_sort,15,7000,1,24496500.00,12253499.00,reverse
dual_pivot_quick_sort,15,7000,1,24496500.00,3500.00,reverse
hybrid_sort,15,7000,1,24496500.00,12253515.00,reverse
quick_sort,15,8000,1,122504.00,65817.00,random
dual_pivot_quick_sort,15,8000,1,115729.00,46082.00,random
hybrid_sort,15,8000,1,123615.00,69286.00,random
quick_sort,15,8000,1,31996000.00,32003999.00,sorted
dual_pivot_quick_sort,15,8000,1,31996000.00,0,sorted
hybrid_sort,15,8000,1,31995964.00,32003945.00,sorted
quick_sort,15,8000,1,31996000.00,16003999.00,reverse
dual_pivot_quick_sort,15,8000,1,31996000.00,4000.00,reverse
hybrid_sort,15,8000,1,31996000.00,16004015.00,reverse
quick_sort,15,9000,1,134303.00,65952.00,random
dual_pivot_quick_sort,15,9000,1,135970.00,52379.00,random
hybrid_sort,15,9000,1,150121.00,88753.00,random
quick_sort,15,9000,1,40495500.00,40504499.00,sorted
dual_pivot_quick_sort,15,9000,1,40495500.00,0,sorted
hybrid_sort,15,9000,1,40495464.00,40504445.00,sorted
quick_sort,15,9000,1,40495500.00,20254499.00,reverse
dual_pivot_quick_sort,15,9000,1,40495500.00,4500.00,reverse
hybrid_sort,15,9000,1,40495500.00,20254515.00,reverse
quick_sort,15,10000,1,158279.00,79767.00,random
dual_pivot_quick_sort,15,10000,1,155736.00,62730.00,random
hybrid_sort,15,10000,1,157058.00,91659.00,random
quick_sort,15,10000,1,49995000.00,50004999.00,sorted
dual_pivot_quick_sort,15,10000,1,49995000.00,0,sorted
hybrid_sort,15,10000,1,49994964.00,50004945.00,sorted
quick_sort,15,10000,1,49995000.00,25004999.00,reverse
dual_pivot_quick_sort,15,10000,1,49995000.00,5000.00,reverse
hybrid_sort,15,10000,1,49995000.00,25005015.00,reverse
quick_sort,15,11000,1,170029.00,91980.00,random
dual_pivot_quick_sort,15,11000,1,191436.00,69591.00,random
hybrid_sort,15,11000,1,175283.00,94245.00,random
quick_sort,15,11000,1,60494500.00,60505499.00,sorted
dual_pivot_quick_sort,15,11000,1,60494500.00,0,sorted
hybrid_sort,15,11000,1,60494464.00,60505445.00,sorted
quick_sort,15,11000,1,60494500.00,30255499.00,reverse
dual_pivot_quick_sort,15,11000,1,60494500.00,5500.00,reverse
hybrid_sort,15,11000,1,60494500.00,30255515.00,reverse
quick_sort,15,12000,1,178380.00,100291.00,random
dual_pivot_quick_sort,15,12000,1,183771.00,66431.00,random
hybrid_sort,15,12000,1,186359.00,92742.00,random
quick_sort,15,12000,1,71994000.00,72005999.00,sorted
dual_pivot_quick_sort,15,12000,1,71994000.00,0,sorted
hybrid_sort,15,12000,1,71993964.00,72005945.00,sorted
quick_sort,15,12000,1,71994000.00,36005999.00,reverse
dual_pivot_quick_sort,15,12000,1,71994000.00,6000.00,reverse
hybrid_sort,15,12000,1,71994000.00,36006015.00,reverse
quick_sort,15,13000,1,208339.00,117413.00,random
dual_pivot_quick_sort,15,13000,1,208217.00,83490.00,random
hybrid_sort,15,13000,1,201563.00,105179.00,random
quick_sort,15,13000,1,84493500.00,84506499.00,sorted
dual_pivot_quick_sort,15,13000,1,84493500.00,0,sorted
hybrid_sort,15,13000,1,84493464.00,84506445.00,sorted
quick_sort,15,13000,1,84493500.00,42256499.00,reverse
dual_pivot_quick_sort,15,13000,1,84493500.00,6500.00,reverse
hybrid_sort,15,13000,1,84493500.00,42256515.00,reverse
quick_sort,15,14000,1,238037.00,134126.00,random
dual_pivot_quick_sort,15,14000,1,232795.00,96697.00,random
hybrid_sort,15,14000,1,230867.00,110192.00,random
quick_sort,15,14000,1,97993000.00,98006999.00,sorted
dual_pivot_quick_sort,15,14000,1,97993000.00,0,sorted
hybrid_sort,15,14000,1,97992964.00,98006945.00,sorted
quick_sort,15,14000,1,97993000.00,49006999.00,reverse
dual_pivot_quick_sort,15,14000,1,97993000.00,7000.00,reverse
hybrid_sort,15,14000,1,97993000.00,49007015.00,reverse
quick_sort,15,15000,1,238901.00,129370.00,random
dual_pivot_quick_sort,15,15000,1,263242.00,104222.00,random
hybrid_sort,15,15000,1,243130.00,132167.00,random
quick_sort,15,15000,1,112492500.00,112507499.00,sorted
dual_pivot_quick_sort,15,15000,1,112492500.00,0,sorted
hybrid_sort,15,15000,1,112492464.00,112507445.00,sorted
quick_sort,15,15000,1,112492500.00,56257499.00,reverse
dual_pivot_quick_sort,15,15000,1,112492500.00,7500.00,reverse
hybrid_sort,15,15000,1,112492500.00,56257515.00,reverse
quick_sort,15,16000,1,278302.00,160599.00,random
dual_pivot_quick_sort,15,16000,1,256592.00,102395.00,random
hybrid_sort,15,16000,1,291483.00,152599.00,random
quick_sort,15,16000,1,127992000.00,128007999.00,sorted
dual_pivot_quick_sort,15,16000,1,127992000.00,0,sorted
hybrid_sort,15,16000,1,127991964.00,128007945.00,sorted
quick_sort,15,16000,1,127992000.00,64007999.00,reverse
dual_pivot_quick_sort,15,16000,1,127992000.00,8000.00,reverse
hybrid_sort,15,16000,1,127992000.00,64008015.00,reverse
quick_sort,15,17000,1,282227.00,148894.00,random
dual_pivot_quick_sort,15,17000,1,283887.00,118073.00,random
hybrid_sort,15,17000,1,277415.00,146078.00,random
quick_sort,15,17000,1,144491500.00,144508499.00,sorted
dual_pivot_quick_sort,15,17000,1,144491500.00,0,sorted
hybrid_sort,15,17000,1,144491464.00,144508445.00,sorted
quick_sort,15,17000,1,144491500.00,72258499.00,reverse
dual_pivot_quick_sort,15,17000,1,144491500.00,8500.00,reverse
hybrid_sort,15,17000,1,144491500.00,72258515.00,reverse
quick_sort,15,18000,1,286197.00,153104.00,random
dual_pivot_quick_sort,15,18000,1,298305.00,109667.00,random
hybrid_sort,15,18000,1,303515.00,161469.00,random
quick_sort,15,18000,1,161991000.00,162008999.00,sorted
dual_pivot_quick_sort,15,18000,1,161991000.00,0,sorted
hybrid_sort,15,18000,1,161990964.00,162008945.00,sorted
quick_sort,15,18000,1,161991000.00,81008999.00,reverse
dual_pivot_quick_sort,15,18000,1,161991000.00,9000.00,reverse
hybrid_sort,15,18000,1,161991000.00,81009015.00,reverse
quick_sort,15,19000,1,348397.00,173255.00,random
dual_pivot_quick_sort,15,19000,1,320673.00,115687.00,random
hybrid_sort,15,19000,1,341333.00,181397.00,random
quick_sort,15,19000,1,180490500.00,180509499.00,sorted
dual_pivot_quick_sort,15,19000,1,180490500.00,0,sorted
hybrid_sort,15,19000,1,180490464.00,180509445.00,sorted
quick_sort,15,19000,1,180490500.00,90259499.00,reverse
dual_pivot_quick_sort,15,19000,1,180490500.00,9500.00,reverse
hybrid_sort,15,19000,1,180490500.00,90259515.00,reverse
quick_sort,15,20000,1,327779.00,185606.00,random
dual_pivot_quick_sort,15,20000,1,342213.00,121455.00,random
hybrid_sort,15,20000,1,373873.00,206603.00,random
quick_sort,15,20000,1,199990000.00,200009999.00,sorted
dual_pivot_quick_sort,15,20000,1,199990000.00,0,sorted
hybrid_sort,15,20000,1,199989964.00,200009945.00,sorted
quick_sort,15,20000,1,199990000.00,100009999.00,reverse
dual_pivot_quick_sort,15,20000,1,199990000.00,10000.00,reverse
hybrid_sort,15,20000,1,199990000.00,100010015.00,reverse
quick_sort,15,21000,1,353653.00,195079.00,random
